comment_id,video_id,text_original,text_final
UgwzTkinYbI-UT5vQYh4AaABAg,7CLZkPwhEG4,"Ya ikut i saja, siapa tau bisa pressing ormas meresahkan dan kriminalitas yg lain",ikut siapa tahu pressing ormas meresahkan kriminalitas
UgxsnMDvIb8zt67WpXp4AaABAg,7CLZkPwhEG4,"Lah pantes banyak yang nganggur, temen gw ada yg gak lolos pns, jir ternyata ini penyebabnya",pantes banyak menganggur temen tidak lolos pns jir ternyata penyebabnya
UgxPNlmIWTWKcebJ7Yt4AaABAg,7CLZkPwhEG4,"POLRI KEBAKARAN JENGGOT
😃😁😃",polri kebakaran jenggot emo_other
UgwGdh4pcpHcJ_CPXF54AaABAg,7CLZkPwhEG4,"""mreka yg PILIH wowo ikut andil dalam meruntuhkan DEMOKRASI di negara ini",pilih wowo ikut andil meruntuhkan demokrasi negara
UgxHw6jFB5X7xbT-gxR4AaABAg,7CLZkPwhEG4,"Kenapa gue ga pernah pilih Wowo, kalo presiden ex. TNI akan mengulang jaman ORBA mirip mertuanya dahulu sipil akan DIGESER kembali negara dipimpin oleh para DIKTATOR.",tidak pernah pilih wowo kalau presiden ex tni mengulang jaman orba mirip mertuanya sipil digeser negara dipimpin diktator
UgxeAnFcbeUY6tUuvJd4AaABAg,7CLZkPwhEG4,negara kacau balau,negara kacau balau
UgxBVfuUyPVf-Rdpu8R4AaABAg,7CLZkPwhEG4,Saya setuju UU tni. Harusnya dari dulu. Biar negara maju,setuju uu_tni harusnya dulu biar negara maju
Ugzjn64qOq0CzpcgHjp4AaABAg,7CLZkPwhEG4,ekonomi hancur...liat myanmar korea utara,ekonomi hancur lihat myanmar korea utara
UgzYy-fItJSJoMKVuoN4AaABAg,7CLZkPwhEG4,Maksudnya biar yg baju coklat gak ada saingan..,maksudnya biar baju coklat tidak saingan
UgwaVgW_AtJzrKjJcPF4AaABAg,7CLZkPwhEG4,"Sehat² buat Presiden dan para pejabat yang mengesahkan UU TNI. Sehat² juga buat Letkol Teddy. Semoga dijauhkan dari segala sakit penyakit, konsekuensi dosa, dll. Selamat bertambah kaya dan makmur para pejabat negeri Indonesia.",sehat sehat buat presiden pejabat mengesahkan uu_tni sehat sehat buat letkol teddy semoga dijauhkan segala sakit penyakit konsekuensi dosa selamat bertambah makmur pejabat negeri indonesia
UgxkQj8FsfaWo6LTxGl4AaABAg,7CLZkPwhEG4,"Bubarkan DPR, tolak UU TNI.... semangat Mahasiswa",bubarkan dpr tolak uu_tni semangat mahasiswa
UgxUpq6UHj1mIKNfHNt4AaABAg,7CLZkPwhEG4,"Rakyat sipil jadi gak bisa ngelawan kalo tni masuk ke sektor yang harusnya untuk warga sipil, karena kalo mau protes, pasti diancam jekerasan bahkan di todongkan senpi",rakyat sipil jadi tidak ngelawan kalau tni masuk sektor harusnya warga sipil kalau mau protes diancam jekerasan bahkan todongkan senpi
UgzOSnuRO4XENtXvJyJ4AaABAg,7CLZkPwhEG4,"Nyatanya kehidupan bangsa ini masih nyaman,aman,dan tentram di era ORDE BARU.setelah runtuhnya orba banyak pejabat yg cm pintar ngomong.Hasilnya bangsa ini sudah terpeeosok jauh dalam kehancuran di berbagai aspek",nyatanya kehidupan bangsa nyaman aman tentram era orde baru runtuhnya orba banyak pejabat pintar bicara hasilnya bangsa terpeeosok jauh kehancuran berbagai aspek
UgwxqATNEKpcGl74m8t4AaABAg,7CLZkPwhEG4,"TNI ambil alih KPK lebih pas, langsung tanggap dan cekatan membasmi koruptor. Bravo TNI🔥",tni ambil alih kpk lebih pas langsung tanggap cekatan membasmi koruptor bravo tni emo_pos
Ugx3E9chjsyFg763BmB4AaABAg,7CLZkPwhEG4,Hegemoni TNI diatas warga sipil... seperti era zaman Orba,hegemoni tni diatas warga sipil era zaman orba
Ugyjd5zL3Kn5KQw5nQ14AaABAg,7CLZkPwhEG4,"Kita akan berurusan dengan camat, lurah, kepala dinas"" Bupati.. Yang memegang senapan laras panjang.. Begitu juga KPK/JAKSA ketika melakukan  OTT terhadap mereka harus perang dulu seperti film""cartel.",berurusan camat lurah kepala dinas bupati memegang senapan laras panjang kpk jaksa melakukan ott perang dulu film cartel
UgzdsyWCnYekz1Bhk894AaABAg,7CLZkPwhEG4,Pada takut sama TNI.. biasanya yang korupsi masal itu yang takut dengan TNI,takut sama tni biasanya korupsi masal takut tni
UgzlWgqyv_nlxxPoubl4AaABAg,7CLZkPwhEG4,Baru 2 hari di sahkan Tempo sudah di teror dengan kepala babi😂,baru hari sahkan tempo teror kepala babi emo_laugh
Ugx_aszyqNyoCSqs3Bt4AaABAg,7CLZkPwhEG4,"I think we're cooked, bros. Idk what will become of Indonesia in the foreseeable future...",re cooked bros idk become indonesia foreseeable masa depan
UgzNYtPUKQyJoX19my54AaABAg,7CLZkPwhEG4,Kami sebagai rakyat sipil setuju UU TNI.. kami mendukung..,rakyat sipil setuju uu_tni mendukung
UgxcufOmbATY_us2NZZ4AaABAg,7CLZkPwhEG4,"Gausahlah dikasih oportuniti menjalankan pekerjaan lain, yang namanya tentara ya tujuannya melindungi rakyat Dan negara, fokus aja pada bidang pertahanan",gausahlah dikasih oportuniti menjalankan pekerjaan namanya tentara tujuannya melindungi rakyat negara fokus bidang pertahanan
UgzM0L9TReeoOv9IDu14AaABAg,7CLZkPwhEG4,Gpp lah.. indonesia jaman dwifungsi bisa menghasilkan tokoh hebat mcm habbibie tp jaman sipil berkuasa malah melempem..,tidak apa apa indonesia jaman dwifungsi menghasilkan tokoh hebat macam habbibie jaman sipil berkuasa malah melempem
UgyzXNo2a6Vy3sxXR_54AaABAg,7CLZkPwhEG4,"Dibahas juga dong, rakyat sipil bisa jadi komandan di TNI 😂",dibahas rakyat sipil jadi komandan tni emo_laugh
UgwWB7L3JSVyhXLy3Hh4AaABAg,7CLZkPwhEG4,"Secara tidak sadar, supremasi sipil akan mati..",tidak sadar supremasi sipil mati
UgzmpZ9B4C3T89XvZw54AaABAg,7CLZkPwhEG4,Tim mawar di tersebar di seluruh Indonesia,tim mawar tersebar seluruh indonesia
UgwP8pf5DxNf6JYMUQR4AaABAg,7CLZkPwhEG4,Setuju. TNI masuk di jabatan sipil. Krna jabatan sipil sekrang bnyak maling maling nya . Anggaran gk ada yg jelas. Dg ada nya tni masuk minimal bisa menjadi momok bagi maling maling duit negara. Harapan kita hnya satu indonesia yg traspran .dana masuk tepat sasaran . Yg menghimpun masa untuk demo tolak revisi ini kn kelakuan maling maling yg takut terungkap kedok mereka,setuju tni masuk jabatan sipil jabatan sipil sekrang banyak maling maling anggaran tidak jelas tni masuk minimal menjadi momok maling maling uang negara harapan hnya satu indonesia traspran dana masuk tepat sasaran menghimpun masa demo tolak revisi kelakuan maling maling takut terungkap kedok
Ugypkeyxv4d6w8B7Rap4AaABAg,7CLZkPwhEG4,baguslah ada tni yang takut itu yang niatnya nyelenah,baguslah tni takut niatnya nyelenah
UgxdJVFtk24O0TEB4GV4AaABAg,7CLZkPwhEG4,Negara miskin banyak drama,negara miskin banyak drama
UgxPDT5h011QlKJin3l4AaABAg,7CLZkPwhEG4,"Sing sukur hirup teh lah .. leheung pemerintan ayna mah ,,daripada pemerintah pas banteng nu nyekeul ,,.. Boro"" menta perampasan aset di tewakan ge eunte ,,komo jang buruh mah uu omnibuslaw umr ge naek 30 rebu tina sataun 😂😂",sing sukur hirup teh leheung pemerintan ayna pemerintah pas banteng nu nyekeul boro menta perampasan aset tewakan ge eunte komo jang buruh uu omnibuslaw umr ge naek rebu tina sataun emo_laugh
Ugy-_OTCU-OuHKV3a494AaABAg,7CLZkPwhEG4,"pak prabowo yg terhormat 
masyarat memlihmu karna mrka yakin kamu akan merbah indonesia lebih maju dan menyetarakan negara kita menjadi negra trbaik bebas dri kemiskinan... tetapi bapak malah menyetarakan tentara untuk hidup di lingkungan sipil.. ckup ltih tentramu dgn baik pak untuk kesipilan itu sdh ada bagian nya..",prabowo terhormat masyarat memlihmu mrka yakin kamu merbah indonesia lebih maju menyetarakan negara menjadi negra trbaik bebas kemiskinan malah menyetarakan tentara hidup lingkungan sipil ckup ltih tentramu baik kesipilan bagian
UgzOOcvJGxa9P8r2aux4AaABAg,7CLZkPwhEG4,Wallahi we're finished😭😭😭,wallahi re finished emo_sad
UgxjFEgaQ5h73v5L92B4AaABAg,7CLZkPwhEG4,Ini indonesia makin kental kearah komunis kayaknya,indonesia semakin kental kearah komunis kayaknya
Ugx2dE49X7ZQIqth4YJ4AaABAg,7CLZkPwhEG4,Akibat salah pilih presiden,akibat salah pilih presiden
UgwI2Fkf0M_V-3MZyDR4AaABAg,7CLZkPwhEG4,INDONESIA GELAP buat kita yg rendahan,indonesia gelap buat rendahan
UgyS_sxGHWbffr_K8Bx4AaABAg,7CLZkPwhEG4,Siapakan diri kalian untuk di intimidasi dan di siksa,siapakan diri kalian intimidasi siksa
UgwEpyn_jx28tI5f3hZ4AaABAg,7CLZkPwhEG4,Sipil rata2 mnfaatkan jbtan dan wewenang.bhkn sipil 75% krjaanny cm korupsi,sipil rata rata mnfaatkan jbtan wewenang bahkan sipil krjaanny korupsi
Ugxr6ZHQWY54lZG5sDx4AaABAg,7CLZkPwhEG4,Sipil banyak korupsi nya....udah bener pake TNI,sipil banyak korupsi benar pakai tni
Ugxl4oI9cBKbFfbixMV4AaABAg,7CLZkPwhEG4,Klian aja yg swrakah dan ktakutan.ko bisa bilng kekerasan..,klian swrakah ktakutan ko bilng kekerasan
Ugz6bxvt88ibp1cxsV54AaABAg,7CLZkPwhEG4,Harusnya para jendral TNI netral tidak boleh sampai terjadi TNI berhadapan dengan rakyatnya. Kembali ke prinsip TNI dari rakyat kembali ke rakyat.,harusnya jendral tni netral tidak terjadi tni berhadapan rakyatnya prinsip tni rakyat rakyat
UgwMgnaawoHrtSvrNkx4AaABAg,7CLZkPwhEG4,Turunkan DPR!! yg kalian wakili bukan rakyat tapi oligarki,turunkan dpr kalian wakili bukan rakyat oligarki
